,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
DDX5,2.7021146,0.9001804,0.5622667,0.49537283,1.2235004,0.37940782,0.4386979,0.5855055,0.5072612,0.33606583,0.7323218,0.7149466,2.567861,0.9106696,0.9907765,0.49294674,1.041269,0.32764494,2.4490387,0.34010106,0.6825184,0.6829058,0.58298016,0.646456,0.2613774,0.1321639
B2M,2.6964207,0.80908346,1.046624,0.66500944,0.9856875,0.530112,0.44471237,0.9720179,0.9259715,0.8109509,0.7085252,1.0843112,2.6565084,0.6421765,1.2101387,0.39590904,1.5113298,0.30885765,2.552027,0.039735395,1.1067253,0.5113719,0.43471915,0.5069995,0.5690038,0.10981523
MSMB,2.6784697,0.7356155,0.6053606,0.015488587,0.43167248,0.0111888265,0.3511381,1.075946,1.4573182,3.1293209,0.7412408,1.0679934,2.4954562,0.38677374,1.0452982,0.3648121,0.44276786,0.9211528,4.6531553,0.92617613,0.0,0.48244563,0.2985135,0.34474912,0.0734476,0.0
PTMS,2.6549194,0.7797136,0.30093434,0.54461163,0.9383043,0.400785,0.6144318,0.55745995,0.45176882,0.69069266,0.798841,0.81017417,2.2675748,0.6438168,1.0801511,0.455653,0.7414773,0.2873372,1.8908966,0.62857455,0.9992543,0.45890313,0.36615652,0.58166385,0.1972727,0.18400377
EIF4B,2.6462812,0.8322819,0.42482695,0.46807808,0.8665359,0.4103689,0.6447144,0.6818464,0.25370404,0.2414757,0.6571911,0.57806414,1.7557945,1.0513407,0.87030315,0.3144986,0.79480267,0.25613335,1.7364206,0.7957689,1.9462609,0.264924,0.45322877,0.37276602,0.2303831,0.5206571
TMED2,2.6445599,1.2011751,0.15958871,0.49854553,0.8728883,0.34892502,0.6674977,0.4311759,0.31319728,0.30759177,0.68044,0.4376201,0.8636613,0.68212926,0.50139266,0.14796814,0.27251813,0.39649656,0.75895315,0.13045509,0.5641184,0.33557996,0.19363917,0.2717871,0.068180084,0.21334648
HNRNPA2B1,2.6433141,0.93129534,0.51492655,0.4448911,0.8771589,0.43049914,0.27413833,0.49016148,0.5368276,0.34074834,0.646111,0.76916105,1.7129467,0.64958024,0.74579215,0.3902165,0.7735834,0.18370605,1.1886969,0.43075177,1.0150311,0.52308,0.4280074,0.39587632,0.21764143,0.11716719
EIF4A1,2.6400337,0.6639961,0.48538044,0.47456115,0.89496404,0.30701113,0.66762507,0.37342584,0.50172627,0.030295907,0.890421,0.443843,1.4382585,0.78912956,0.4662248,0.10911636,0.44750488,0.376177,0.9528851,1.0273554,1.8571866,0.6130581,0.3625032,0.27014416,0.18684998,0.40991524
HNRNPDL,2.627509,0.97495556,0.410446,0.31520948,0.32011545,0.5462016,0.41626567,0.39583278,0.32669926,0.14181842,0.60728365,0.6644501,1.1881768,0.16241276,0.77716684,0.27565867,0.6655836,0.21527734,1.6095772,0.4810255,0.84365296,0.42330113,0.38018286,0.48785117,0.24795999,0.031886164
MIF,2.626863,0.95171905,0.15967754,0.3446801,0.47369075,0.36481136,0.8621634,0.3300032,0.29318547,0.12128798,0.5801692,0.30802578,0.63733065,0.21940337,0.42762396,0.32866573,0.2752146,0.67247796,0.5672071,0.47393256,1.2367076,0.45865136,0.2643169,0.0,0.07671384,0.3104981
PFN1,2.6147122,0.8713571,0.47082528,0.566068,0.9324121,0.4514616,0.46010524,0.7133866,0.60238874,0.20667762,0.7866573,0.5716218,2.2144947,0.6837169,1.1770858,0.6972275,0.84517705,0.1712433,2.4604812,0.45694268,1.0344765,0.25723842,0.3442622,0.608613,0.17123784,0.041549597
SNRNP70,2.5913148,0.6206654,0.3421499,0.39458928,0.7757176,0.26207328,0.5399798,0.5171831,0.38994265,0.5602779,0.44114694,0.4373133,1.1388988,0.32489234,0.78231555,0.30349758,0.36284846,0.080404334,1.3741468,0.6249437,0.82831055,0.7234542,0.5362509,0.7624605,0.12640944,0.27100116
CCNI,2.5621865,1.0006305,0.33531275,0.42316937,0.9974024,0.41927463,0.4521204,0.7040507,0.20922972,0.16755927,0.8357796,0.62985325,1.7031188,0.78802836,0.93558276,0.45858845,0.7644833,0.25454015,1.9377921,0.27750516,0.84649646,0.31911114,0.3638409,0.4181627,0.21241409,0.17610969
HSP90AB1,2.5535412,0.9530665,0.46176976,0.5628692,0.70189834,0.5107276,0.31987983,0.5334768,0.44055927,0.3300787,0.79566765,0.5658241,1.5570923,0.9368631,0.76144296,0.17215197,0.77572995,0.28348827,1.5520973,0.4157536,1.6112725,0.2615349,0.3693374,0.34170163,0.089930855,0.1301106
PSAP,2.5515893,0.80265576,0.6490298,0.5811364,1.3087119,0.47094,0.2942535,0.8197147,0.60944974,0.44516525,0.8282249,1.1950679,2.6139984,1.070976,0.9056893,0.41735554,1.3189878,0.20311096,1.9832877,0.35391557,0.80754983,0.48090622,0.3475991,0.26814473,0.16340104,0.0
TPM1,2.5438492,0.6262928,0.22476016,0.26424667,0.010303923,0.33174652,0.38965988,0.97446066,0.38386548,0.20363207,0.945411,0.6212844,3.9694655,0.0,2.021667,1.0517513,1.5891185,0.16454114,4.361311,0.1276745,0.9124555,0.3028857,0.22096528,1.2106057,0.0007217065,0.12136008
HSPA8,2.542592,0.5803307,0.37779024,0.5410601,1.1697882,0.35365316,0.5353177,0.51949155,0.46119577,0.34150842,0.7892256,0.5664671,2.0038908,1.2181455,0.7836273,0.2868251,0.7645796,0.41640577,1.5066111,0.61934656,1.0206686,0.5747443,0.28662977,0.3099377,0.12774791,0.25906274
RHOA,2.5408862,0.7135843,0.4425098,0.50637263,0.635535,0.34261966,0.36967182,0.6215703,0.35252276,0.14078084,0.6826214,0.74454266,1.5820854,0.45330808,0.8867221,0.28654182,0.58782554,0.31544307,1.6779206,0.1306392,0.6111041,0.30057555,0.2663434,0.36265314,0.27532172,0.16884641
BCAM,2.5143516,0.64995587,0.2911247,0.20651026,2.0726476,0.013195015,0.39425462,0.5754618,0.21484481,0.6155503,0.42073828,0.26859015,0.8912453,2.0706024,0.31159303,0.0,0.3373185,0.2971938,0.89820516,0.3362357,1.158372,0.22079137,0.0,0.14545764,0.4131665,0.0
